127.0.0.1 - - [21/Nov/2018:20:28:17 -0200] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:28:21 -0200] "GET /VendasPecas/faces/templates/template.xhtml HTTP/1.1" 200 6767
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:28:22 -0200] "GET /VendasPecas/faces/javax.faces.resource/jquery/jquery.js;jsessionid=8518234B34B3D582DC90075340DDF0AE?ln=primefaces&v=5.0 HTTP/1.1" 200 108195
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:28:22 -0200] "GET /VendasPecas/faces/javax.faces.resource/layout/layout.css;jsessionid=8518234B34B3D582DC90075340DDF0AE?ln=primefaces&v=5.0 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:28:22 -0200] "GET /VendasPecas/faces/javax.faces.resource/layout/layout.js;jsessionid=8518234B34B3D582DC90075340DDF0AE?ln=primefaces&v=5.0 HTTP/1.1" 200 87647
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:28:22 -0200] "GET /VendasPecas/faces/javax.faces.resource/primefaces.js;jsessionid=8518234B34B3D582DC90075340DDF0AE?ln=primefaces&v=5.0 HTTP/1.1" 200 300675
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:28:22 -0200] "GET /VendasPecas/faces/javax.faces.resource/jquery/jquery-plugins.js;jsessionid=8518234B34B3D582DC90075340DDF0AE?ln=primefaces&v=5.0 HTTP/1.1" 200 220756
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:28:22 -0200] "GET /VendasPecas/faces/templates/RES_NOT_FOUND HTTP/1.1" 500 2874
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:28:22 -0200] "GET /VendasPecas/faces/javax.faces.resource/style.css;jsessionid=8518234B34B3D582DC90075340DDF0AE?ln=css HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:28:22 -0200] "GET /VendasPecas/faces/javax.faces.resource/primefaces.css;jsessionid=8518234B34B3D582DC90075340DDF0AE?ln=primefaces&v=5.0 HTTP/1.1" 200 55524
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:28:22 -0200] "GET /VendasPecas/faces/templates/RES_NOT_FOUND HTTP/1.1" 500 2082
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:28:22 -0200] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:28:50 -0200] "GET /VendasPecas/faces/pages/funcionarioPesquisa.xhtml;jsessionid=8518234B34B3D582DC90075340DDF0AE HTTP/1.1" 200 13364
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:28:50 -0200] "GET /VendasPecas/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:28:50 -0200] "GET /VendasPecas/faces/javax.faces.resource/layout/layout.js?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:28:50 -0200] "GET /VendasPecas/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:28:50 -0200] "GET /VendasPecas/faces/pages/RES_NOT_FOUND HTTP/1.1" 500 2082
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:28:50 -0200] "GET /VendasPecas/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:28:50 -0200] "GET /VendasPecas/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:28:50 -0200] "GET /VendasPecas/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:28:50 -0200] "GET /VendasPecas/faces/pages/RES_NOT_FOUND HTTP/1.1" 500 2082
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:29:09 -0200] "GET /VendasPecas/faces/pages/produtoPesquisa.xhtml HTTP/1.1" 200 16214
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:29:09 -0200] "GET /VendasPecas/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:29:09 -0200] "GET /VendasPecas/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:29:09 -0200] "GET /VendasPecas/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:29:09 -0200] "GET /VendasPecas/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:29:09 -0200] "GET /VendasPecas/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:29:09 -0200] "GET /VendasPecas/faces/javax.faces.resource/layout/layout.js?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:29:09 -0200] "GET /VendasPecas/faces/pages/RES_NOT_FOUND HTTP/1.1" 500 2082
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:29:09 -0200] "GET /VendasPecas/faces/pages/RES_NOT_FOUND HTTP/1.1" 500 2082
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:29:12 -0200] "GET /VendasPecas/faces/pages/fornecedorPesquisa.xhtml HTTP/1.1" 200 15366
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:29:12 -0200] "GET /VendasPecas/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:29:12 -0200] "GET /VendasPecas/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:29:13 -0200] "GET /VendasPecas/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:29:13 -0200] "GET /VendasPecas/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:29:13 -0200] "GET /VendasPecas/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:29:13 -0200] "GET /VendasPecas/faces/javax.faces.resource/layout/layout.js?ln=primefaces&v=5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:20:29:13 -0200] "GET /VendasPecas/faces/pages/RES_NOT_FOUND HTTP/1.1" 500 2082
